 No. ,������,�����ѷ�,ȭ��,Ű,��ż����㸮�ѷ�,������,�Ӹ��ѷ�,�߱���,����,������,������,����������,����������,������,����ȭ,BMI����
 11 ,20130415,98.8 cm,88.3 cm,177.2 cm,82.4 cm (32.4 in),78.0 cm,57.4 cm,28.2 cm,9.6 cm,67.7 kg,100-178,100-L(84)-178,80-M(79.2)-178,57ȣ,285mm,21.5
 12 ,20130415,103.3 cm,89.2 cm,179.2 cm,84.2 cm (33.2 in),79.1 cm,55.8 cm,26.2 cm,9.8 cm,73.1 kg,105-178,105-L(84)-178,85-M(79.2)-178,56ȣ,265mm,22.8
 13 ,20130415,87.5 cm,83.1 cm,166.8 cm,79.3 cm (31.2 in),73.4 cm,55.8 cm,26.1 cm,8.7 cm,45.0 kg,90-168,90-M(78)-168,80-M(74.8)-168,56ȣ,265mm,0.2
 14 ,20130415,95.3 cm,89.8 cm,179.0 cm,90.9 cm (35.8 in),79.0 cm,58.6 cm,27.9 cm,9.2 cm,70.3 kg,95-178,95-L(84)-178,90-M(79.2)-178,59ȣ,280mm,22.0
 15 ,20130415,87.5 cm,83.3 cm,167.4 cm,70.3 cm (27.7 in),73.7 cm,55.1 cm,25.1 cm,9.0 cm,54.6 kg,90-168,90-M(78)-168,75-M(74.8)-168,55ȣ,255mm,19.5
 16 ,20130415,104.5 cm,89.7 cm,178.9 cm,98.1 cm (38.6 in),79.1 cm,56.7 cm,27.5 cm,9.0 cm,85.8 kg,105-178,105-L(84)-178,100-M(79.2)-178,57ȣ,275mm,26.8
 17 ,20130415,120.0 cm,87.4 cm,175.6 cm,116.1 cm (45.7 in),77.6 cm,60.3 cm,27.2 cm,10.0 cm,113.1 kg,120-178,120-M(82)-178,115-M(82.3)-185,60ȣ,275mm,36.7
 18 ,20130415,87.5 cm,86.4 cm,173.1 cm,74.2 cm (29.2 in),76.3 cm,57.4 cm,25.9 cm,9.4 cm,56.4 kg,90-173,90-M(80)-173,75-M(77)-173,57ȣ,260mm,18.9
 19 ,20130415,92.2 cm,81.8 cm,164.2 cm,81.5 cm (32.1 in),72.1 cm,55.5 cm,25.6 cm,8.0 cm,58.1 kg,90-168,95-L(80)-168,80-S(71.8)-168,55ȣ,260mm,21.5
 20 ,20130415,98.7 cm,91.3 cm,182.7 cm,89.6 cm (35.3 in),80.3 cm,56.3 cm,27.8 cm,9.3 cm,74.8 kg,100-185,100-L(87)-185,90-M(82.3)-185,56ȣ,280mm,22.4
 21 ,20130415,100.8 cm,84.3 cm,169.3 cm,83.5 cm (32.9 in),74.4 cm,57.2 cm,26.3 cm,9.3 cm,72.2 kg,100-168,100-L(82)-173,85-M(74.8)-168,57ȣ,265mm,24.7
 22 ,20130415,89.5 cm,83.8 cm,168.0 cm,72.3 cm (28.5 in),74.2 cm,55.3 cm,26.1 cm,8.6 cm,57.4 kg,90-168,90-M(78)-168,75-M(74.8)-168,55ȣ,265mm,20.3
 23 ,20130415,101.2 cm,90.2 cm,180.2 cm,88.0 cm (34.6 in),79.3 cm,59.8 cm,26.1 cm,9.8 cm,76.7 kg,100-178,100-L(87)-185,90-M(79.2)-178,60ȣ,265mm,23.6
 24 ,20130415,98.0 cm,88.8 cm,177.3 cm,89.2 cm (35.1 in),78.0 cm,56.6 cm,28.0 cm,8.9 cm,74.7 kg,100-178,100-L(84)-178,90-M(79.2)-178,57ȣ,280mm,23.7
 25 ,20130415,92.1 cm,87.0 cm,173.0 cm,83.0 cm (32.7 in),76.2 cm,59.5 cm,26.4 cm,9.6 cm,64.5 kg,90-173,95-L(82)-173,85-M(77)-173,59ȣ,265mm,21.6
 26 ,20130415,102.0 cm,85.1 cm,170.6 cm,96.9 cm (38.2 in),75.4 cm,57.3 cm,25.6 cm,9.0 cm,77.9 kg,100-173,100-L(82)-173,95-M(77)-173,57ȣ,260mm,26.8
 27 ,20130415,98.9 cm,81.3 cm,163.1 cm,94.2 cm (37.1 in),72.0 cm,58.5 cm,26.1 cm,8.9 cm,69.1 kg,100-168,100-L(80)-168,95-S(71.8)-168,58ȣ,265mm,26.0
 28 ,20130415,93.2 cm,83.8 cm,167.1 cm,69.8 cm (27.5 in),73.8 cm,57.0 cm,24.6 cm,10.0 cm,61.0 kg,95-168,95-L(80)-168,75-M(74.8)-168,57ȣ,250mm,21.8
 29 ,20130415,111.9 cm,94.3 cm,188.1 cm,102.8 cm (40.5 in),82.8 cm,57.0 cm,29.7 cm,9.5 cm,99.1 kg,110-185,110-M(85)-185,105-M(82.3)-185,57ȣ,300mm,28.0
 30 ,20130415,96.3 cm,90.5 cm,181.9 cm,88.3 cm (34.8 in),80.4 cm,58.6 cm,26.0 cm,9.0 cm,63.5 kg,95-185,100-L(87)-185,90-M(82.3)-185,59ȣ,260mm,19.2
 31 ,20130415,98.9 cm,85.5 cm,170.6 cm,83.7 cm (33.0 in),75.1 cm,55.6 cm,26.1 cm,10.0 cm,68.6 kg,100-173,100-L(82)-173,85-M(74.8)-168,56ȣ,265mm,23.6
 32 ,20130415,104.0 cm,84.8 cm,170.3 cm,87.6 cm (34.5 in),75.1 cm,55.4 cm,27.2 cm,11.9 cm,76.7 kg,105-168,105-L(82)-173,85-M(74.8)-168,55ȣ,275mm,26.5
 33 ,20130415,92.1 cm,90.9 cm,181.4 cm,85.7 cm (33.7 in),80.2 cm,56.3 cm,27.2 cm,9.4 cm,64.7 kg,90-178,90-M(85)-185,85-M(79.2)-178,56ȣ,275mm,19.7
 34 ,20130415,101.8 cm,89.3 cm,177.8 cm,91.3 cm (35.9 in),78.3 cm,57.8 cm,28.7 cm,8.2 cm,77.8 kg,100-178,100-L(84)-178,90-M(79.2)-178,58ȣ,290mm,24.6
 35 ,20130415,99.1 cm,86.8 cm,174.4 cm,84.2 cm (33.1 in),76.8 cm,56.9 cm,26.6 cm,9.1 cm,72.0 kg,100-173,100-L(84)-178,85-M(77)-173,57ȣ,270mm,23.7
 36 ,20130415,96.5 cm,86.6 cm,173.6 cm,80.0 cm (31.5 in),76.6 cm,59.0 cm,27.0 cm,10.4 cm,70.0 kg,95-173,95-L(82)-173,80-M(77)-173,59ȣ,270mm,23.2
 37 ,20130415,104.5 cm,90.6 cm,181.6 cm,88.9 cm (35.0 in),80.2 cm,58.2 cm,28.1 cm,10.1 cm,81.2 kg,105-185,105-M(85)-185,90-M(79.2)-178,58ȣ,285mm,24.6
 38 ,20130415,88.1 cm,85.5 cm,171.9 cm,82.0 cm (32.3 in),75.9 cm,56.4 cm,25.8 cm,8.5 cm,59.1 kg,90-173,90-M(80)-173,80-M(77)-173,56ȣ,260mm,20.0
 39 ,20130415,98.1 cm,89.8 cm,178.8 cm,85.2 cm (33.5 in),78.9 cm,55.4 cm,27.6 cm,10.5 cm,71.0 kg,100-178,100-L(84)-178,85-M(79.2)-178,55ȣ,280mm,22.2
 40 ,20130415,100.8 cm,90.7 cm,180.5 cm,68.2 cm (26.8 in),79.8 cm,54.0 cm,27.3 cm,9.9 cm,66.5 kg,100-178,100-L(87)-185,75-M(79.2)-178,54ȣ,275mm,20.4
 41 ,20130415,91.9 cm,86.9 cm,173.3 cm,78.0 cm (30.7 in),76.4 cm,55.6 cm,25.8 cm,8.6 cm,58.5 kg,90-173,95-L(82)-173,80-M(77)-173,56ȣ,260mm,19.5
 42 ,20130415,105.0 cm,85.7 cm,172.4 cm,93.5 cm (36.8 in),76.1 cm,58.4 cm,26.3 cm,9.0 cm,87.1 kg,105-173,105-L(82)-173,95-M(77)-173,58ȣ,265mm,29.2
 43 ,20130415,91.7 cm,84.8 cm,170.5 cm,74.9 cm (29.5 in),75.3 cm,56.4 cm,26.1 cm,8.9 cm,54.3 kg,90-168,95-L(82)-173,75-M(74.8)-168,56ȣ,265mm,18.0
 44 ,20130415,93.4 cm,86.7 cm,173.7 cm,79.6 cm (31.3 in),76.6 cm,57.6 cm,27.1 cm,10.5 cm,64.2 kg,95-173,95-L(82)-173,80-M(77)-173,58ȣ,275mm,21.2
 45 ,20130415,88.3 cm,87.2 cm,174.2 cm,73.0 cm (28.7 in),76.7 cm,56.9 cm,26.0 cm,9.2 cm,58.8 kg,90-173,90-M(82)-178,75-M(77)-173,57ȣ,260mm,19.4
 46 ,20130415,109.8 cm,86.5 cm,172.2 cm,108.4 cm (42.7 in),76.0 cm,60.7 cm,27.2 cm,9.3 cm,89.1 kg,110-173,110-M(80)-173,105-M(79.2)-178,61ȣ,275mm,30.0
 47 ,20130415,97.6 cm,85.5 cm,171.0 cm,84.8 cm (33.4 in),75.2 cm,56.9 cm,25.0 cm,9.9 cm,74.5 kg,100-173,100-L(82)-173,85-M(77)-173,57ȣ,250mm,25.5
 48 ,20130415,86.1 cm,86.7 cm,174.2 cm,64.3 cm (25.3 in),76.9 cm,55.4 cm,25.0 cm,8.7 cm,50.7 kg,90-173,90-M(82)-178,70-M(77)-173,55ȣ,250mm,16.7
 49 ,20130415,85.5 cm,89.5 cm,179.5 cm,84.8 cm (33.4 in),79.3 cm,56.0 cm,26.1 cm,8.7 cm,55.3 kg,90-178,90-M(85)-185,85-M(79.2)-178,56ȣ,265mm,17.2
 50 ,20130415,89.5 cm,87.0 cm,173.6 cm,75.5 cm (29.7 in),76.7 cm,55.4 cm,27.3 cm,9.3 cm,52.6 kg,90-173,90-M(82)-178,75-M(77)-173,55ȣ,275mm,17.5
 51 ,20130415,101.3 cm,88.2 cm,177.2 cm,91.3 cm (35.9 in),78.3 cm,56.8 cm,26.8 cm,8.8 cm,77.2 kg,100-178,100-L(84)-178,90-M(79.2)-178,57ȣ,270mm,24.6
 52 ,20130415,85.4 cm,86.4 cm,173.3 cm,75.5 cm (29.7 in),76.2 cm,54.5 cm,26.2 cm,8.5 cm,52.4 kg,90-173,90-M(80)-173,75-M(77)-173,55ȣ,265mm,17.4
 53 ,20130415,108.8 cm,83.5 cm,167.3 cm,95.6 cm (37.6 in),73.7 cm,57.8 cm,26.5 cm,8.9 cm,86.3 kg,110-168,110-M(78)-168,95-S(71.8)-168,58ȣ,265mm,30.8
 54 ,20130415,104.7 cm,84.6 cm,170.1 cm,107.7 cm (42.4 in),75.0 cm,59.6 cm,26.0 cm,9.7 cm,88.8 kg,105-168,105-L(82)-173,100-M(77)-173,60ȣ,260mm,30.7
 55 ,20130415,108.5 cm,86.5 cm,172.2 cm,110.9 cm (43.7 in),75.9 cm,61.7 cm,26.9 cm,9.9 cm,95.1 kg,110-173,105-L(82)-173,105-M(79.2)-178,62ȣ,270mm,32.0
 56 ,20130415,102.9 cm,89.0 cm,178.2 cm,76.3 cm (30.0 in),78.7 cm,57.4 cm,28.4 cm,9.2 cm,74.9 kg,105-178,105-L(84)-178,75-M(79.2)-178,57ȣ,285mm,23.6
 57 ,20130415,107.8 cm,89.1 cm,179.1 cm,98.9 cm (38.9 in),79.1 cm,58.7 cm,27.0 cm,10.4 cm,87.1 kg,110-178,105-L(84)-178,100-M(79.2)-178,59ȣ,270mm,27.1
 58 ,20130415,96.4 cm,87.1 cm,175.0 cm,80.2 cm (31.6 in),77.1 cm,60.5 cm,27.3 cm,10.0 cm,62.2 kg,95-173,95-L(84)-178,80-M(77)-173,60ȣ,275mm,20.3
 59 ,20130415,94.0 cm,81.0 cm,162.8 cm,83.0 cm (32.7 in),71.6 cm,56.0 cm,25.4 cm,11.3 cm,67.3 kg,95-168,95-L(80)-168,85-S(71.8)-168,56ȣ,255mm,25.4
 60 ,20130415,109.8 cm,90.4 cm,181.6 cm,96.8 cm (38.1 in),80.3 cm,57.7 cm,26.4 cm,11.2 cm,93.7 kg,110-185,110-M(85)-185,95-M(79.2)-178,58ȣ,265mm,28.7
 61 ,20130415,84.2 cm,86.4 cm,173.2 cm,77.1 cm (30.3 in),76.3 cm,55.0 cm,26.1 cm,9.1 cm,51.1 kg,90-173,90-M(80)-173,75-M(77)-173,55ȣ,265mm,17.0
 62 ,20130415,84.7 cm,84.5 cm,169.0 cm,76.2 cm (30.0 in),74.6 cm,55.8 cm,24.6 cm,8.7 cm,50.4 kg,90-168,90-M(80)-173,75-M(74.8)-168,56ȣ,250mm,17.6
 63 ,20130415,98.4 cm,86.4 cm,172.2 cm,81.9 cm (32.2 in),75.7 cm,56.7 cm,27.5 cm,10.0 cm,69.6 kg,100-173,100-L(82)-173,80-M(77)-173,57ȣ,275mm,23.5
 64 ,20130415,94.0 cm,85.8 cm,171.5 cm,80.1 cm (31.5 in),75.7 cm,55.3 cm,25.2 cm,9.1 cm,60.8 kg,95-173,95-L(82)-173,80-M(77)-173,55ȣ,255mm,20.7
 65 ,20130415,93.6 cm,89.2 cm,179.0 cm,78.4 cm (30.9 in),79.1 cm,55.9 cm,25.5 cm,9.1 cm,64.2 kg,95-178,95-L(84)-178,80-M(79.2)-178,56ȣ,255mm,19.4
 66 ,20130415,88.3 cm,84.0 cm,167.8 cm,81.1 cm (31.9 in),73.8 cm,57.3 cm,26.3 cm,9.0 cm,53.9 kg,90-168,90-M(78)-168,80-M(74.8)-168,57ȣ,265mm,19.1
 67 ,20130415,101.3 cm,91.7 cm,184.0 cm,89.2 cm (35.1 in),80.9 cm,60.2 cm,27.4 cm,9.7 cm,84.0 kg,100-185,100-L(87)-185,90-M(82.3)-185,60ȣ,275mm,24.9
 68 ,20130415,112.9 cm,86.4 cm,172.1 cm,105.4 cm (41.5 in),76.0 cm,60.5 cm,27.7 cm,10.4 cm,92.4 kg,115-173,115-M(80)-173,100-M(77)-173,60ȣ,280mm,31.9
 69 ,20130415,119.1 cm,90.9 cm,181.7 cm,96.5 cm (38.0 in),80.1 cm,61.5 cm,28.4 cm,10.3 cm,101.3 kg,120-185,120-M(85)-185,95-M(79.2)-178,61ȣ,285mm,30.7
 70 ,20130415,92.2 cm,83.6 cm,167.8 cm,81.3 cm (32.0 in),73.8 cm,57.9 cm,25.7 cm,9.1 cm,55.5 kg,90-168,95-L(80)-168,80-M(74.8)-168,58ȣ,260mm,19.7
 71 ,20130415,97.0 cm,85.1 cm,169.9 cm,78.5 cm (30.9 in),74.7 cm,55.4 cm,26.7 cm,9.0 cm,59.7 kg,95-168,95-L(82)-173,80-M(74.8)-168,55ȣ,270mm,20.6
 72 ,20130415,93.4 cm,85.7 cm,170.7 cm,76.7 cm (30.2 in),75.2 cm,56.7 cm,25.4 cm,9.2 cm,64.4 kg,95-173,95-L(82)-173,75-M(74.8)-168,57ȣ,255mm,22.1
 73 ,20130415,108.1 cm,87.5 cm,174.8 cm,96.5 cm (38.0 in),76.9 cm,60.5 cm,27.2 cm,10.2 cm,86.7 kg,110-173,105-L(84)-178,95-M(77)-173,61ȣ,275mm,28.4
 74 ,20130415,91.0 cm,85.6 cm,171.5 cm,79.5 cm (31.3 in),75.6 cm,56.3 cm,23.8 cm,8.7 cm,59.8 kg,90-173,95-L(82)-173,80-M(77)-173,56ȣ,240mm,20.4
 75 ,20130415,107.5 cm,84.5 cm,169.4 cm,96.4 cm (37.9 in),74.4 cm,58.6 cm,25.7 cm,10.9 cm,85.3 kg,105-168,105-L(82)-173,95-S(71.8)-168,59ȣ,260mm,29.8
 76 ,20130415,91.0 cm,85.9 cm,172.5 cm,80.9 cm (31.8 in),76.2 cm,56.6 cm,26.0 cm,9.5 cm,57.0 kg,90-173,95-L(82)-173,80-M(77)-173,57ȣ,260mm,19.1
 77 ,20130415,85.0 cm,86.2 cm,171.5 cm,73.1 cm (28.8 in),75.6 cm,56.3 cm,24.7 cm,8.8 cm,53.3 kg,90-173,90-M(80)-173,75-M(77)-173,56ȣ,250mm,18.1
 78 ,20130415,100.6 cm,89.3 cm,179.2 cm,91.1 cm (35.9 in),79.1 cm,57.3 cm,27.7 cm,9.8 cm,82.0 kg,100-178,100-L(84)-178,90-M(79.2)-178,57ȣ,280mm,25.5
 79 ,20130415,102.7 cm,88.0 cm,176.5 cm,94.9 cm (37.4 in),77.9 cm,55.5 cm,26.3 cm,11.6 cm,85.2 kg,105-178,105-L(84)-178,95-M(79.2)-178,55ȣ,265mm,27.3
 80 ,20130415,93.5 cm,86.3 cm,173.3 cm,72.7 cm (28.6 in),76.5 cm,54.9 cm,26.4 cm,9.5 cm,61.3 kg,95-173,95-L(82)-173,75-M(77)-173,55ȣ,265mm,20.4
 81 ,20130415,98.3 cm,87.2 cm,173.8 cm,79.0 cm (31.1 in),76.7 cm,56.5 cm,27.0 cm,8.9 cm,58.8 kg,100-173,100-L(82)-173,80-M(77)-173,56ȣ,270mm,19.4
 82 ,20130415,84.2 cm,86.3 cm,171.7 cm,82.7 cm (32.5 in),75.8 cm,58.1 cm,25.1 cm,9.3 cm,61.9 kg,90-173,90-M(80)-173,85-M(77)-173,58ȣ,255mm,20.9
 83 ,20130415,103.7 cm,84.8 cm,169.7 cm,87.9 cm (34.6 in),74.7 cm,56.9 cm,26.2 cm,9.6 cm,77.3 kg,105-168,105-L(82)-173,85-M(74.8)-168,57ȣ,265mm,26.8
 84 ,20130415,96.7 cm,85.8 cm,170.9 cm,76.0 cm (29.9 in),75.1 cm,55.5 cm,25.8 cm,9.6 cm,66.5 kg,95-173,95-L(82)-173,75-M(77)-173,55ȣ,260mm,22.8
 85 ,20130415,85.3 cm,87.1 cm,174.1 cm,80.9 cm (31.9 in),76.6 cm,54.7 cm,26.2 cm,11.2 cm,51.4 kg,90-173,90-M(82)-178,80-M(77)-173,55ȣ,265mm,16.9
 86 ,20130415,96.4 cm,83.2 cm,167.1 cm,79.5 cm (31.3 in),73.5 cm,56.1 cm,26.0 cm,9.7 cm,61.0 kg,95-168,95-L(80)-168,80-M(74.8)-168,56ȣ,260mm,21.8
 87 ,20130415,90.0 cm,87.7 cm,174.7 cm,77.9 cm (30.7 in),76.8 cm,54.8 cm,27.0 cm,9.3 cm,61.8 kg,90-173,90-M(82)-178,80-M(77)-173,55ȣ,270mm,20.2
 88 ,20130415,108.8 cm,79.9 cm,160.2 cm,98.1 cm (38.6 in),70.7 cm,56.9 cm,24.4 cm,10.0 cm,77.1 kg,110-168,110-M(78)-168,95-S(71.8)-168,57ȣ,245mm,30.1
 89 ,20130415,104.7 cm,93.2 cm,186.1 cm,100.2 cm (39.5 in),82.2 cm,57.1 cm,28.5 cm,9.4 cm,88.7 kg,105-185,100-L(87)-185,100-M(82.3)-185,57ȣ,285mm,25.6
 90 ,20130415,98.3 cm,84.4 cm,169.2 cm,81.4 cm (32.0 in),74.7 cm,56.9 cm,26.5 cm,9.5 cm,69.3 kg,100-168,100-L(82)-173,80-M(74.8)-168,57ȣ,265mm,24.2
 91 ,20130415,91.4 cm,89.4 cm,178.2 cm,77.4 cm (30.5 in),78.7 cm,57.4 cm,27.0 cm,10.3 cm,60.8 kg,90-178,95-L(84)-178,75-M(79.2)-178,57ȣ,270mm,19.1
 92 ,20130415,93.7 cm,84.1 cm,167.3 cm,84.9 cm (33.4 in),73.8 cm,56.8 cm,26.8 cm,32.1 cm,56.0 kg,95-168,95-L(80)-168,85-M(74.8)-168,57ȣ,270mm,20.0
 93 ,20130415,90.6 cm,87.8 cm,175.8 cm,73.0 cm (28.7 in),77.5 cm,57.3 cm,27.1 cm,11.5 cm,60.3 kg,90-178,90-M(82)-178,75-M(79.2)-178,57ȣ,275mm,19.5
 94 ,20130415,92.3 cm,89.2 cm,179.0 cm,88.5 cm (34.8 in),78.7 cm,56.4 cm,27.6 cm,9.5 cm,60.0 kg,90-178,95-L(84)-178,90-M(79.2)-178,56ȣ,280mm,18.8
 95 ,20130415,108.2 cm,85.6 cm,171.9 cm,103.6 cm (40.8 in),75.5 cm,58.3 cm,28.3 cm,10.1 cm,84.9 kg,110-173,105-L(82)-173,100-M(77)-173,58ȣ,285mm,28.7
 96 ,20130415,84.3 cm,86.7 cm,173.1 cm,81.0 cm (31.9 in),76.4 cm,56.6 cm,24.7 cm,8.2 cm,56.0 kg,90-173,90-M(80)-173,80-M(77)-173,57ȣ,250mm,18.7
 97 ,20130415,117.3 cm,89.1 cm,178.8 cm,108.2 cm (42.6 in),78.5 cm,59.2 cm,27.4 cm,33.3 cm,107.4 kg,115-178,115-M(82)-178,105-M(79.2)-178,59ȣ,275mm,33.6
 98 ,20130415,101.2 cm,89.0 cm,177.2 cm,83.0 cm (32.7 in),78.3 cm,57.2 cm,27.2 cm,10.2 cm,70.4 kg,100-178,100-L(84)-178,85-M(79.2)-178,57ȣ,275mm,22.4
 99 ,20130415,93.4 cm,86.9 cm,173.2 cm,81.4 cm (32.0 in),76.4 cm,56.1 cm,26.3 cm,10.7 cm,67.5 kg,95-173,95-L(82)-173,80-M(77)-173,56ȣ,265mm,22.5
 100 ,20130415,100.4 cm,85.8 cm,171.9 cm,88.8 cm (35.0 in),75.8 cm,58.4 cm,26.0 cm,9.4 cm,72.6 kg,100-173,100-L(82)-173,90-M(77)-173,58ȣ,260mm,24.6
 101 ,20130415,88.7 cm,84.0 cm,167.4 cm,73.4 cm (28.9 in),73.8 cm,57.0 cm,25.0 cm,8.6 cm,51.8 kg,90-168,90-M(78)-168,75-M(74.8)-168,57ȣ,250mm,18.5
 102 ,20130415,117.0 cm,90.8 cm,182.4 cm,114.7 cm (45.1 in),80.6 cm,57.4 cm,26.9 cm,9.4 cm,101.6 kg,115-185,115-M(85)-185,115-M(82.3)-185,57ȣ,270mm,30.6
 103 ,20130415,97.1 cm,83.8 cm,168.5 cm,87.2 cm (34.4 in),74.0 cm,55.6 cm,26.0 cm,8.8 cm,67.7 kg,95-168,95-L(80)-168,85-M(74.8)-168,56ȣ,260mm,23.7
 104 ,20130415,102.7 cm,90.1 cm,179.2 cm,68.9 cm (27.1 in),79.0 cm,56.7 cm,27.8 cm,8.6 cm,73.7 kg,105-178,105-L(84)-178,75-M(79.2)-178,57ȣ,280mm,22.9
 105 ,20130415,87.2 cm,85.5 cm,170.2 cm,69.9 cm (27.5 in),75.1 cm,57.1 cm,25.6 cm,9.4 cm,52.9 kg,90-168,90-M(80)-173,70-M(77)-173,57ȣ,260mm,18.4
 106 ,20130415,86.1 cm,87.2 cm,174.1 cm,73.0 cm (28.7 in),76.6 cm,54.6 cm,26.6 cm,8.7 cm,52.1 kg,90-173,90-M(82)-178,75-M(77)-173,55ȣ,270mm,17.1
 107 ,20130415,89.9 cm,90.2 cm,180.0 cm,78.7 cm (31.0 in),79.4 cm,56.4 cm,27.2 cm,8.8 cm,56.6 kg,90-178,90-M(85)-185,80-M(79.2)-178,56ȣ,275mm,17.5
 108 ,20130415,86.6 cm,87.7 cm,176.1 cm,75.1 cm (29.6 in),77.4 cm,57.9 cm,27.2 cm,8.8 cm,62.8 kg,90-178,90-M(82)-178,75-M(79.2)-178,58ȣ,275mm,20.3
 109 ,20130415,87.9 cm,83.8 cm,168.4 cm,67.6 cm (26.6 in),74.1 cm,56.1 cm,24.6 cm,9.3 cm,50.7 kg,90-168,90-M(78)-168,70-M(77)-173,56ȣ,250mm,17.9
 110 ,20130415,92.7 cm,85.1 cm,169.9 cm,79.0 cm (31.1 in),74.9 cm,57.2 cm,26.7 cm,9.5 cm,60.0 kg,95-168,95-L(82)-173,80-M(74.8)-168,57ȣ,270mm,20.8
 111 ,20130415,90.6 cm,88.8 cm,178.3 cm,81.8 cm (32.2 in),78.5 cm,55.8 cm,26.5 cm,8.9 cm,58.6 kg,90-178,95-L(84)-178,80-M(79.2)-178,56ȣ,265mm,18.5
 112 ,20130415,95.6 cm,92.8 cm,185.2 cm,78.1 cm (30.7 in),81.5 cm,56.6 cm,27.4 cm,10.6 cm,70.6 kg,95-185,100-L(87)-185,80-M(82.3)-185,57ȣ,275mm,20.6
 113 ,20130415,104.2 cm,84.3 cm,167.8 cm,93.7 cm (36.9 in),73.8 cm,58.2 cm,25.4 cm,9.0 cm,72.6 kg,105-168,105-L(82)-173,95-S(71.8)-168,58ȣ,255mm,25.7
 114 ,20130415,98.9 cm,88.4 cm,175.9 cm,88.4 cm (34.8 in),77.6 cm,57.3 cm,27.0 cm,10.5 cm,73.0 kg,100-178,100-L(84)-178,90-M(79.2)-178,57ȣ,270mm,23.6
 115 ,20130415,110.3 cm,88.7 cm,177.5 cm,97.5 cm (38.4 in),78.0 cm,55.7 cm,27.5 cm,9.3 cm,90.7 kg,110-178,110-M(82)-178,100-M(79.2)-178,56ȣ,275mm,28.7
 116 ,20130415,92.7 cm,89.3 cm,179.4 cm,85.4 cm (33.6 in),78.9 cm,59.1 cm,27.4 cm,9.2 cm,68.6 kg,95-178,95-L(84)-178,85-M(79.2)-178,59ȣ,275mm,21.3
 117 ,20130415,92.9 cm,87.4 cm,174.1 cm,77.8 cm (30.6 in),76.8 cm,56.2 cm,25.3 cm,9.8 cm,60.2 kg,95-173,95-L(84)-178,80-M(77)-173,56ȣ,255mm,19.8
 118 ,20130415,85.1 cm,88.5 cm,176.4 cm,73.4 cm (28.9 in),77.8 cm,58.1 cm,26.6 cm,10.0 cm,60.6 kg,90-178,90-M(82)-178,75-M(79.2)-178,58ȣ,270mm,19.5
 119 ,20130415,111.5 cm,86.1 cm,172.2 cm,101.5 cm (40.0 in),75.8 cm,55.8 cm,26.5 cm,9.1 cm,92.2 kg,110-173,110-M(80)-173,100-M(77)-173,56ȣ,265mm,30.5
 120 ,20130415,77.2 cm,86.0 cm,172.9 cm,67.3 cm (26.5 in),76.3 cm,56.1 cm,27.4 cm,9.2 cm,51.4 kg,90-173,90-M(80)-173,70-M(77)-173,56ȣ,275mm,16.3
