 No. ,������,�����ѷ�,ȭ��,Ű,��ż����㸮�ѷ�,������,�Ӹ��ѷ�,�߱���,����,������,������,����������,����������,������,����ȭ,BMI����
 16 ,20130415,104.5,89.7,178.9,98.1  (38.6 in),79.1,56.7,27.5,9,85.8,105-178,105-L(84)-178,100-M(79.2)-178,57ȣ,275mm,26.8
 17 ,20130415,120,87.4,175.6,116.1  (45.7 in),77.6,60.3,27.2,10,113.1,120-178,120-M(82)-178,115-M(82.3)-185,60ȣ,275mm,36.7
 18 ,20130415,87.5,86.4,173.1,74.2  (29.2 in),76.3,57.4,25.9,9.4,56.4,90-173,90-M(80)-173,75-M(77)-173,57ȣ,260mm,18.9
 19 ,20130415,92.2,81.8,164.2,81.5  (32.1 in),72.1,55.5,25.6,8,58.1,90-168,95-L(80)-168,80-S(71.8)-168,55ȣ,260mm,21.5
 20 ,20130415,98.7,91.3,182.7,89.6  (35.3 in),80.3,56.3,27.8,9.3,74.8,100-185,100-L(87)-185,90-M(82.3)-185,56ȣ,280mm,22.4
 21 ,20130415,100.8,84.3,169.3,83.5  (32.9 in),74.4,57.2,26.3,9.3,72.2,100-168,100-L(82)-173,85-M(74.8)-168,57ȣ,265mm,24.7
 22 ,20130415,89.5,83.8,168,72.3  (28.5 in),74.2,55.3,26.1,8.6,57.4,90-168,90-M(78)-168,75-M(74.8)-168,55ȣ,265mm,20.3
 23 ,20130415,101.2,90.2,180.2,88.0  (34.6 in),79.3,59.8,26.1,9.8,76.7,100-178,100-L(87)-185,90-M(79.2)-178,60ȣ,265mm,23.6
 24 ,20130415,98,88.8,177.3,89.2  (35.1 in),78,56.6,28,8.9,74.7,100-178,100-L(84)-178,90-M(79.2)-178,57ȣ,280mm,23.7
 25 ,20130415,92.1,87,173,83.0  (32.7 in),76.2,59.5,26.4,9.6,64.5,90-173,95-L(82)-173,85-M(77)-173,59ȣ,265mm,21.6
 26 ,20130415,102,85.1,170.6,96.9  (38.2 in),75.4,57.3,25.6,9,77.9,100-173,100-L(82)-173,95-M(77)-173,57ȣ,260mm,26.8
 27 ,20130415,98.9,81.3,163.1,94.2  (37.1 in),72,58.5,26.1,8.9,69.1,100-168,100-L(80)-168,95-S(71.8)-168,58ȣ,265mm,26.0
 28 ,20130415,93.2,83.8,167.1,69.8  (27.5 in),73.8,57,24.6,10,61,95-168,95-L(80)-168,75-M(74.8)-168,57ȣ,250mm,21.8
 29 ,20130415,111.9,94.3,188.1,102.8  (40.5 in),82.8,57,29.7,9.5,99.1,110-185,110-M(85)-185,105-M(82.3)-185,57ȣ,300mm,28.0
 30 ,20130415,96.3,90.5,181.9,88.3  (34.8 in),80.4,58.6,26,9,63.5,95-185,100-L(87)-185,90-M(82.3)-185,59ȣ,260mm,19.2
 31 ,20130415,98.9,85.5,170.6,83.7  (33.0 in),75.1,55.6,26.1,10,68.6,100-173,100-L(82)-173,85-M(74.8)-168,56ȣ,265mm,23.6
 32 ,20130415,104,84.8,170.3,87.6  (34.5 in),75.1,55.4,27.2,11.9,76.7,105-168,105-L(82)-173,85-M(74.8)-168,55ȣ,275mm,26.5
 33 ,20130415,92.1,90.9,181.4,85.7  (33.7 in),80.2,56.3,27.2,9.4,64.7,90-178,90-M(85)-185,85-M(79.2)-178,56ȣ,275mm,19.7
 34 ,20130415,101.8,89.3,177.8,91.3  (35.9 in),78.3,57.8,28.7,8.2,77.8,100-178,100-L(84)-178,90-M(79.2)-178,58ȣ,290mm,24.6
 35 ,20130415,99.1,86.8,174.4,84.2  (33.1 in),76.8,56.9,26.6,9.1,72,100-173,100-L(84)-178,85-M(77)-173,57ȣ,270mm,23.7
 36 ,20130415,96.5,86.6,173.6,80.0  (31.5 in),76.6,59,27,10.4,70,95-173,95-L(82)-173,80-M(77)-173,59ȣ,270mm,23.2
 37 ,20130415,104.5,90.6,181.6,88.9  (35.0 in),80.2,58.2,28.1,10.1,81.2,105-185,105-M(85)-185,90-M(79.2)-178,58ȣ,285mm,24.6
 38 ,20130415,88.1,85.5,171.9,82.0  (32.3 in),75.9,56.4,25.8,8.5,59.1,90-173,90-M(80)-173,80-M(77)-173,56ȣ,260mm,20.0
 39 ,20130415,98.1,89.8,178.8,85.2  (33.5 in),78.9,55.4,27.6,10.5,71,100-178,100-L(84)-178,85-M(79.2)-178,55ȣ,280mm,22.2
 40 ,20130415,100.8,90.7,180.5,68.2  (26.8 in),79.8,54,27.3,9.9,66.5,100-178,100-L(87)-185,75-M(79.2)-178,54ȣ,275mm,20.4
 41 ,20130415,91.9,86.9,173.3,78.0  (30.7 in),76.4,55.6,25.8,8.6,58.5,90-173,95-L(82)-173,80-M(77)-173,56ȣ,260mm,19.5
 42 ,20130415,105,85.7,172.4,93.5  (36.8 in),76.1,58.4,26.3,9,87.1,105-173,105-L(82)-173,95-M(77)-173,58ȣ,265mm,29.2
 43 ,20130415,91.7,84.8,170.5,74.9  (29.5 in),75.3,56.4,26.1,8.9,54.3,90-168,95-L(82)-173,75-M(74.8)-168,56ȣ,265mm,18.0
 44 ,20130415,93.4,86.7,173.7,79.6  (31.3 in),76.6,57.6,27.1,10.5,64.2,95-173,95-L(82)-173,80-M(77)-173,58ȣ,275mm,21.2
 45 ,20130415,88.3,87.2,174.2,73.0  (28.7 in),76.7,56.9,26,9.2,58.8,90-173,90-M(82)-178,75-M(77)-173,57ȣ,260mm,19.4
 46 ,20130415,109.8,86.5,172.2,108.4  (42.7 in),76,60.7,27.2,9.3,89.1,110-173,110-M(80)-173,105-M(79.2)-178,61ȣ,275mm,30.0
 47 ,20130415,97.6,85.5,171,84.8  (33.4 in),75.2,56.9,25,9.9,74.5,100-173,100-L(82)-173,85-M(77)-173,57ȣ,250mm,25.5
 48 ,20130415,86.1,86.7,174.2,64.3  (25.3 in),76.9,55.4,25,8.7,50.7,90-173,90-M(82)-178,70-M(77)-173,55ȣ,250mm,16.7
 49 ,20130415,85.5,89.5,179.5,84.8  (33.4 in),79.3,56,26.1,8.7,55.3,90-178,90-M(85)-185,85-M(79.2)-178,56ȣ,265mm,17.2
 50 ,20130415,89.5,87,173.6,75.5  (29.7 in),76.7,55.4,27.3,9.3,52.6,90-173,90-M(82)-178,75-M(77)-173,55ȣ,275mm,17.5
 51 ,20130415,101.3,88.2,177.2,91.3  (35.9 in),78.3,56.8,26.8,8.8,77.2,100-178,100-L(84)-178,90-M(79.2)-178,57ȣ,270mm,24.6
 52 ,20130415,85.4,86.4,173.3,75.5  (29.7 in),76.2,54.5,26.2,8.5,52.4,90-173,90-M(80)-173,75-M(77)-173,55ȣ,265mm,17.4
 53 ,20130415,108.8,83.5,167.3,95.6  (37.6 in),73.7,57.8,26.5,8.9,86.3,110-168,110-M(78)-168,95-S(71.8)-168,58ȣ,265mm,30.8
 54 ,20130415,104.7,84.6,170.1,107.7  (42.4 in),75,59.6,26,9.7,88.8,105-168,105-L(82)-173,100-M(77)-173,60ȣ,260mm,30.7
 55 ,20130415,108.5,86.5,172.2,110.9  (43.7 in),75.9,61.7,26.9,9.9,95.1,110-173,105-L(82)-173,105-M(79.2)-178,62ȣ,270mm,32.0
 56 ,20130415,102.9,89,178.2,76.3  (30.0 in),78.7,57.4,28.4,9.2,74.9,105-178,105-L(84)-178,75-M(79.2)-178,57ȣ,285mm,23.6
 57 ,20130415,107.8,89.1,179.1,98.9  (38.9 in),79.1,58.7,27,10.4,87.1,110-178,105-L(84)-178,100-M(79.2)-178,59ȣ,270mm,27.1
 58 ,20130415,96.4,87.1,175,80.2  (31.6 in),77.1,60.5,27.3,10,62.2,95-173,95-L(84)-178,80-M(77)-173,60ȣ,275mm,20.3
 59 ,20130415,94,81,162.8,83.0  (32.7 in),71.6,56,25.4,11.3,67.3,95-168,95-L(80)-168,85-S(71.8)-168,56ȣ,255mm,25.4
 60 ,20130415,109.8,90.4,181.6,96.8  (38.1 in),80.3,57.7,26.4,11.2,93.7,110-185,110-M(85)-185,95-M(79.2)-178,58ȣ,265mm,28.7
 61 ,20130415,84.2,86.4,173.2,77.1  (30.3 in),76.3,55,26.1,9.1,51.1,90-173,90-M(80)-173,75-M(77)-173,55ȣ,265mm,17.0
 62 ,20130415,84.7,84.5,169,76.2  (30.0 in),74.6,55.8,24.6,8.7,50.4,90-168,90-M(80)-173,75-M(74.8)-168,56ȣ,250mm,17.6
 63 ,20130415,98.4,86.4,172.2,81.9  (32.2 in),75.7,56.7,27.5,10,69.6,100-173,100-L(82)-173,80-M(77)-173,57ȣ,275mm,23.5
 64 ,20130415,94,85.8,171.5,80.1  (31.5 in),75.7,55.3,25.2,9.1,60.8,95-173,95-L(82)-173,80-M(77)-173,55ȣ,255mm,20.7
 65 ,20130415,93.6,89.2,179,78.4  (30.9 in),79.1,55.9,25.5,9.1,64.2,95-178,95-L(84)-178,80-M(79.2)-178,56ȣ,255mm,19.4
 66 ,20130415,88.3,84,167.8,81.1  (31.9 in),73.8,57.3,26.3,9,53.9,90-168,90-M(78)-168,80-M(74.8)-168,57ȣ,265mm,19.1
 67 ,20130415,101.3,91.7,184,89.2  (35.1 in),80.9,60.2,27.4,9.7,84,100-185,100-L(87)-185,90-M(82.3)-185,60ȣ,275mm,24.9
 68 ,20130415,112.9,86.4,172.1,105.4  (41.5 in),76,60.5,27.7,10.4,92.4,115-173,115-M(80)-173,100-M(77)-173,60ȣ,280mm,31.9
 69 ,20130415,119.1,90.9,181.7,96.5  (38.0 in),80.1,61.5,28.4,10.3,101.3,120-185,120-M(85)-185,95-M(79.2)-178,61ȣ,285mm,30.7
 70 ,20130415,92.2,83.6,167.8,81.3  (32.0 in),73.8,57.9,25.7,9.1,55.5,90-168,95-L(80)-168,80-M(74.8)-168,58ȣ,260mm,19.7
 71 ,20130415,97,85.1,169.9,78.5  (30.9 in),74.7,55.4,26.7,9,59.7,95-168,95-L(82)-173,80-M(74.8)-168,55ȣ,270mm,20.6
 72 ,20130415,93.4,85.7,170.7,76.7  (30.2 in),75.2,56.7,25.4,9.2,64.4,95-173,95-L(82)-173,75-M(74.8)-168,57ȣ,255mm,22.1
 73 ,20130415,108.1,87.5,174.8,96.5  (38.0 in),76.9,60.5,27.2,10.2,86.7,110-173,105-L(84)-178,95-M(77)-173,61ȣ,275mm,28.4
 74 ,20130415,91,85.6,171.5,79.5  (31.3 in),75.6,56.3,23.8,8.7,59.8,90-173,95-L(82)-173,80-M(77)-173,56ȣ,240mm,20.4
 75 ,20130415,107.5,84.5,169.4,96.4  (37.9 in),74.4,58.6,25.7,10.9,85.3,105-168,105-L(82)-173,95-S(71.8)-168,59ȣ,260mm,29.8
 76 ,20130415,91,85.9,172.5,80.9  (31.8 in),76.2,56.6,26,9.5,57,90-173,95-L(82)-173,80-M(77)-173,57ȣ,260mm,19.1
 77 ,20130415,85,86.2,171.5,73.1  (28.8 in),75.6,56.3,24.7,8.8,53.3,90-173,90-M(80)-173,75-M(77)-173,56ȣ,250mm,18.1
 78 ,20130415,100.6,89.3,179.2,91.1  (35.9 in),79.1,57.3,27.7,9.8,82,100-178,100-L(84)-178,90-M(79.2)-178,57ȣ,280mm,25.5
 79 ,20130415,102.7,88,176.5,94.9  (37.4 in),77.9,55.5,26.3,11.6,85.2,105-178,105-L(84)-178,95-M(79.2)-178,55ȣ,265mm,27.3
 80 ,20130415,93.5,86.3,173.3,72.7  (28.6 in),76.5,54.9,26.4,9.5,61.3,95-173,95-L(82)-173,75-M(77)-173,55ȣ,265mm,20.4
 81 ,20130415,98.3,87.2,173.8,79.0  (31.1 in),76.7,56.5,27,8.9,58.8,100-173,100-L(82)-173,80-M(77)-173,56ȣ,270mm,19.4
 82 ,20130415,84.2,86.3,171.7,82.7  (32.5 in),75.8,58.1,25.1,9.3,61.9,90-173,90-M(80)-173,85-M(77)-173,58ȣ,255mm,20.9
 83 ,20130415,103.7,84.8,169.7,87.9  (34.6 in),74.7,56.9,26.2,9.6,77.3,105-168,105-L(82)-173,85-M(74.8)-168,57ȣ,265mm,26.8
 84 ,20130415,96.7,85.8,170.9,76.0  (29.9 in),75.1,55.5,25.8,9.6,66.5,95-173,95-L(82)-173,75-M(77)-173,55ȣ,260mm,22.8
 85 ,20130415,85.3,87.1,174.1,80.9  (31.9 in),76.6,54.7,26.2,11.2,51.4,90-173,90-M(82)-178,80-M(77)-173,55ȣ,265mm,16.9
 86 ,20130415,96.4,83.2,167.1,79.5  (31.3 in),73.5,56.1,26,9.7,61,95-168,95-L(80)-168,80-M(74.8)-168,56ȣ,260mm,21.8
 87 ,20130415,90,87.7,174.7,77.9  (30.7 in),76.8,54.8,27,9.3,61.8,90-173,90-M(82)-178,80-M(77)-173,55ȣ,270mm,20.2
 88 ,20130415,108.8,79.9,160.2,98.1  (38.6 in),70.7,56.9,24.4,10,77.1,110-168,110-M(78)-168,95-S(71.8)-168,57ȣ,245mm,30.1
 89 ,20130415,104.7,93.2,186.1,100.2  (39.5 in),82.2,57.1,28.5,9.4,88.7,105-185,100-L(87)-185,100-M(82.3)-185,57ȣ,285mm,25.6
 90 ,20130415,98.3,84.4,169.2,81.4  (32.0 in),74.7,56.9,26.5,9.5,69.3,100-168,100-L(82)-173,80-M(74.8)-168,57ȣ,265mm,24.2
 91 ,20130415,91.4,89.4,178.2,77.4  (30.5 in),78.7,57.4,27,10.3,60.8,90-178,95-L(84)-178,75-M(79.2)-178,57ȣ,270mm,19.1
 92 ,20130415,93.7,84.1,167.3,84.9  (33.4 in),73.8,56.8,26.8,32.1,56,95-168,95-L(80)-168,85-M(74.8)-168,57ȣ,270mm,20.0
 93 ,20130415,90.6,87.8,175.8,73.0  (28.7 in),77.5,57.3,27.1,11.5,60.3,90-178,90-M(82)-178,75-M(79.2)-178,57ȣ,275mm,19.5
 94 ,20130415,92.3,89.2,179,88.5  (34.8 in),78.7,56.4,27.6,9.5,60,90-178,95-L(84)-178,90-M(79.2)-178,56ȣ,280mm,18.8
 95 ,20130415,108.2,85.6,171.9,103.6  (40.8 in),75.5,58.3,28.3,10.1,84.9,110-173,105-L(82)-173,100-M(77)-173,58ȣ,285mm,28.7
 96 ,20130415,84.3,86.7,173.1,81.0  (31.9 in),76.4,56.6,24.7,8.2,56,90-173,90-M(80)-173,80-M(77)-173,57ȣ,250mm,18.7
 97 ,20130415,117.3,89.1,178.8,108.2  (42.6 in),78.5,59.2,27.4,33.3,107.4,115-178,115-M(82)-178,105-M(79.2)-178,59ȣ,275mm,33.6
 98 ,20130415,101.2,89,177.2,83.0  (32.7 in),78.3,57.2,27.2,10.2,70.4,100-178,100-L(84)-178,85-M(79.2)-178,57ȣ,275mm,22.4
 99 ,20130415,93.4,86.9,173.2,81.4  (32.0 in),76.4,56.1,26.3,10.7,67.5,95-173,95-L(82)-173,80-M(77)-173,56ȣ,265mm,22.5
 100 ,20130415,100.4,85.8,171.9,88.8  (35.0 in),75.8,58.4,26,9.4,72.6,100-173,100-L(82)-173,90-M(77)-173,58ȣ,260mm,24.6
 101 ,20130415,88.7,84,167.4,73.4  (28.9 in),73.8,57,25,8.6,51.8,90-168,90-M(78)-168,75-M(74.8)-168,57ȣ,250mm,18.5
 102 ,20130415,117,90.8,182.4,114.7  (45.1 in),80.6,57.4,26.9,9.4,101.6,115-185,115-M(85)-185,115-M(82.3)-185,57ȣ,270mm,30.6
 103 ,20130415,97.1,83.8,168.5,87.2  (34.4 in),74,55.6,26,8.8,67.7,95-168,95-L(80)-168,85-M(74.8)-168,56ȣ,260mm,23.7
 104 ,20130415,102.7,90.1,179.2,68.9  (27.1 in),79,56.7,27.8,8.6,73.7,105-178,105-L(84)-178,75-M(79.2)-178,57ȣ,280mm,22.9
 105 ,20130415,87.2,85.5,170.2,69.9  (27.5 in),75.1,57.1,25.6,9.4,52.9,90-168,90-M(80)-173,70-M(77)-173,57ȣ,260mm,18.4
 106 ,20130415,86.1,87.2,174.1,73.0  (28.7 in),76.6,54.6,26.6,8.7,52.1,90-173,90-M(82)-178,75-M(77)-173,55ȣ,270mm,17.1
 107 ,20130415,89.9,90.2,180,78.7  (31.0 in),79.4,56.4,27.2,8.8,56.6,90-178,90-M(85)-185,80-M(79.2)-178,56ȣ,275mm,17.5
 108 ,20130415,86.6,87.7,176.1,75.1  (29.6 in),77.4,57.9,27.2,8.8,62.8,90-178,90-M(82)-178,75-M(79.2)-178,58ȣ,275mm,20.3
 109 ,20130415,87.9,83.8,168.4,67.6  (26.6 in),74.1,56.1,24.6,9.3,50.7,90-168,90-M(78)-168,70-M(77)-173,56ȣ,250mm,17.9
 110 ,20130415,92.7,85.1,169.9,79.0  (31.1 in),74.9,57.2,26.7,9.5,60,95-168,95-L(82)-173,80-M(74.8)-168,57ȣ,270mm,20.8
 111 ,20130415,90.6,88.8,178.3,81.8  (32.2 in),78.5,55.8,26.5,8.9,58.6,90-178,95-L(84)-178,80-M(79.2)-178,56ȣ,265mm,18.5
 112 ,20130415,95.6,92.8,185.2,78.1  (30.7 in),81.5,56.6,27.4,10.6,70.6,95-185,100-L(87)-185,80-M(82.3)-185,57ȣ,275mm,20.6
 113 ,20130415,104.2,84.3,167.8,93.7  (36.9 in),73.8,58.2,25.4,9,72.6,105-168,105-L(82)-173,95-S(71.8)-168,58ȣ,255mm,25.7
 114 ,20130415,98.9,88.4,175.9,88.4  (34.8 in),77.6,57.3,27,10.5,73,100-178,100-L(84)-178,90-M(79.2)-178,57ȣ,270mm,23.6
 115 ,20130415,110.3,88.7,177.5,97.5  (38.4 in),78,55.7,27.5,9.3,90.7,110-178,110-M(82)-178,100-M(79.2)-178,56ȣ,275mm,28.7
 116 ,20130415,92.7,89.3,179.4,85.4  (33.6 in),78.9,59.1,27.4,9.2,68.6,95-178,95-L(84)-178,85-M(79.2)-178,59ȣ,275mm,21.3
 117 ,20130415,92.9,87.4,174.1,77.8  (30.6 in),76.8,56.2,25.3,9.8,60.2,95-173,95-L(84)-178,80-M(77)-173,56ȣ,255mm,19.8
 118 ,20130415,85.1,88.5,176.4,73.4  (28.9 in),77.8,58.1,26.6,10,60.6,90-178,90-M(82)-178,75-M(79.2)-178,58ȣ,270mm,19.5
 119 ,20130415,111.5,86.1,172.2,101.5  (40.0 in),75.8,55.8,26.5,9.1,92.2,110-173,110-M(80)-173,100-M(77)-173,56ȣ,265mm,30.5
 120 ,20130415,77.2,86,172.9,67.3  (26.5 in),76.3,56.1,27.4,9.2,51.4,90-173,90-M(80)-173,70-M(77)-173,56ȣ,275mm,16.3
 121 ,20130415,93.5,83.4,167.4,80.8  (31.8 in),73.5,57.9,24.9,9.8,76.9,95-168,95-L(80)-168,80-M(74.8)-168,58ȣ,250mm,27.5
 122 ,20130415,101.5,88,175.6,85.9  (33.8 in),77.5,56.4,25.7,9.2,75.7,100-178,100-L(84)-178,85-S(76.2)-178,56ȣ,260mm,24.5
 123 ,20130415,104.5,88.5,177.7,94.4  (37.2 in),78.4,58.3,27,9.8,82.2,105-178,105-L(84)-178,95-M(79.2)-178,58ȣ,270mm,26.0
 124 ,20130415,93.8,83.8,166.8,78.5  (30.9 in),73.6,55.9,25.2,8.7,62.4,95-168,95-L(80)-168,80-M(74.8)-168,56ȣ,255mm,22.8
 125 ,20130415,101.8,86.8,173.8,91.5  (36.0 in),76.5,57.8,27.2,10.1,75.8,100-173,100-L(82)-173,90-M(77)-173,58ȣ,275mm,25.1
 126 ,20130415,112.1,87.5,175.6,103.6  (40.8 in),77.3,59.9,26.9,10.1,93.8,110-178,110-M(82)-178,105-M(79.2)-178,60ȣ,270mm,30.4
 127 ,20130415,112.4,86.2,172.5,112.8  (44.4 in),75.9,59.4,24.9,10.4,96.2,110-173,110-M(80)-173,105-M(79.2)-178,59ȣ,250mm,32.4
 128 ,20130415,106.6,88.1,175.8,94.5  (37.2 in),77.4,57.8,28.5,10.2,78.9,105-178,105-L(84)-178,95-M(77)-173,58ȣ,285mm,25.5
 129 ,20130415,93,86,171.5,82.2  (32.4 in),75.4,56.7,25.8,8.9,59.3,95-173,95-L(82)-173,80-S(74)-173,57ȣ,260mm,20.2
 130 ,20130415,103.9,89,179,88.7  (34.9 in),78.7,60.5,27.6,9.4,86.1,105-178,105-L(84)-178,90-M(79.2)-178,61ȣ,280mm,26.9
 131 ,20130415,104.4,90.3,180.2,82.9  (32.6 in),79.3,59.4,26.6,9.9,82.9,105-178,105-L(84)-178,85-M(79.2)-178,59ȣ,270mm,25.7
 132 ,20130415,97,82.7,164.5,81.9  (32.2 in),72.5,54.2,25.1,8.4,60,95-168,95-L(80)-168,80-S(71.8)-168,54ȣ,255mm,22.2
 133 ,20130415,102.9,87.1,173.6,89.1  (35.1 in),76.6,58,26.1,9.4,76.6,105-173,105-L(82)-173,90-M(77)-173,58ȣ,265mm,25.4
 134 ,20130415,101.2,82.5,165.1,85.7  (33.7 in),72.6,57,25,10,67.1,100-168,100-L(80)-168,85-S(71.8)-168,57ȣ,250mm,24.7
 135 ,20130415,90.8,84.5,169.8,74.3  (29.3 in),74.9,58.7,25.2,9.6,58.7,90-168,90-M(80)-173,75-M(74.8)-168,59ȣ,255mm,20.3
 136 ,20130415,100.5,85.3,171.3,79.4  (31.3 in),75.3,56.9,26.4,10.5,64.8,100-173,100-L(82)-173,80-S(74)-173,57ȣ,265mm,22.1
 137 ,20130415,105.4,88,175.5,93.3  (36.7 in),77.6,59.5,27.4,10.4,79.7,105-178,105-L(84)-178,95-M(77)-173,59ȣ,275mm,25.9
 138 ,20130415,91.3,89.2,179.3,82.3  (32.4 in),79.2,57.1,27.4,10.1,65.1,90-178,95-L(84)-178,80-M(79.2)-178,57ȣ,275mm,20.2
 139 ,20130415,91.9,86.1,172.4,76.7  (30.2 in),76.1,56.9,26.7,8.8,57,90-173,95-L(82)-173,75-M(77)-173,57ȣ,270mm,19.2
 140 ,20130415,91,87.4,174.9,74.5  (29.3 in),77.2,57.1,28.2,9.7,60.4,90-173,95-L(84)-178,75-M(77)-173,57ȣ,285mm,19.7
 141 ,20130415,111.1,90.5,180.7,95.4  (37.6 in),79.5,57.3,27.5,9.1,82.1,110-178,110-M(85)-185,95-M(79.2)-178,57ȣ,275mm,25.2
 142 ,20130415,106.6,91.4,183.2,89.6  (35.3 in),80.7,59.2,27.5,9.6,81.1,105-185,105-M(85)-185,90-M(82.3)-185,59ȣ,275mm,24.1
 143 ,20130415,105.5,83.3,167.5,101.9  (40.1 in),73.6,58.9,26.2,9.2,86.5,105-168,105-M(78)-168,100-M(77)-173,59ȣ,265mm,30.9
 144 ,20130415,95.9,90.4,180.9,80.3  (31.6 in),79.8,58.2,27.9,10.2,67.8,95-178,100-L(87)-185,80-M(79.2)-178,58ȣ,280mm,20.7
 145 ,20130415,88.3,88.9,176.9,74.7  (29.4 in),78.1,56,26.6,10,53.6,90-178,90-M(82)-178,75-M(79.2)-178,56ȣ,270mm,17.1
 146 ,20130415,89.7,89.3,178,77.8  (30.6 in),78.4,54.3,26.5,9.5,60.2,90-178,90-M(82)-178,80-M(79.2)-178,54ȣ,265mm,19.0
 147 ,20130415,102,86.7,174,89.3  (35.1 in),76.7,57.9,25.7,9.7,73.6,100-173,100-L(84)-178,90-M(77)-173,58ȣ,260mm,24.3
 148 ,20130415,101,84.5,168.5,86.4  (34.0 in),74.3,56.1,26.9,9.5,71.6,100-168,100-L(80)-168,85-M(74.8)-168,56ȣ,270mm,25.2
 149 ,20130415,100.4,84.9,170.4,95.0  (37.4 in),75.2,57.4,25.8,9.5,72.7,100-168,100-L(82)-173,95-M(77)-173,57ȣ,260mm,25.1
 150 ,20130415,86.9,86.7,172.7,68.4  (26.9 in),75.9,55.8,25.3,10.8,54,90-173,90-M(80)-173,70-M(77)-173,56ȣ,255mm,18.1
 151 ,20130415,120.4,91.5,183.8,106.3  (41.9 in),80.9,61,26.8,9.9,106.4,120-185,120-M(85)-185,105-M(82.3)-185,61ȣ,270mm,31.5
 152 ,20130415,101.2,83,165.8,88.7  (34.9 in),72.9,58.3,24.5,9.2,71,100-168,100-L(80)-168,90-S(71.8)-168,58ȣ,245mm,25.8
 153 ,20130415,89,85.2,171.1,74.0  (29.1 in),75.5,54.2,26.6,10.3,62.6,90-173,90-M(80)-173,75-M(77)-173,54ȣ,270mm,21.3
 154 ,20130415,94.6,91,182.7,88.4  (34.8 in),80.5,57.9,29,9.6,73.7,95-185,95-M(85)-185,90-M(82.3)-185,58ȣ,290mm,22.0
 155 ,20130415,105.6,85.8,172.4,98.5  (38.8 in),76,57.1,27.9,10.4,84.1,105-173,105-L(82)-173,100-M(77)-173,57ȣ,280mm,28.3
 156 ,20130415,89.3,91.3,182.7,79.9  (31.4 in),80.5,57.7,27.3,10,59.1,90-178,90-M(85)-185,80-M(82.3)-185,58ȣ,275mm,17.7
 157 ,20130415,94.7,89.6,179.7,78.4  (30.9 in),79.1,54.7,26.5,10,64.1,95-178,95-L(84)-178,80-M(79.2)-178,55ȣ,265mm,19.9
 158 ,20130415,92.6,89,178.8,92.6  (36.4 in),78.7,57.2,26.3,8.8,64.9,95-178,95-L(84)-178,95-M(79.2)-178,57ȣ,265mm,20.3
